Supplier,Purchaser,CDR Group,CDR Method,Status,Tons Purchased,Total price (USD),Tons Delivered,Announcement Date,Announcement Link,Demand-side Marketplace,Supply-side Marketplace,Year,Month,Day
UNDO,Faculty Science,ERW,Enhanced Weathering,undelivered,8.0,,,2023-03-27 00:00:00,supercritical report,0,Supercritical,2023,03,27
Aggregate Supplier (Marketplace Report),Lowercarbon Capital,Unknown,Unspecified,undelivered,1000.0,,,2023-06-29 00:00:00,https://watershed.com/blog/watershed-lowercarbon-partnership,0,Watershed,2023,06,29
Pacific Biochar,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,290.1,,290.1,2022-10-01 00:00:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,10,01
Husk,Klarna,BiCRS,Biochar,undelivered,200.0,50000,,2023-09-29 00:00:00,0,0,Milkywire,2023,09,29
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,17.8,,17.8,2020-11-23 09:19:00,Carbonfuture Marketplace Report,0,Carbonfuture,2020,11,23
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,25.4,,,2023-12-15 00:00:00,patch order id: ord_prod_ec3e8e380ec50a6612aaecc3320d6026,0,Patch,2023,12,15
Eion,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,1.1,,,2023-12-15 00:00:00,patch order id: ord_prod_92b361220b88a6599b4b383420fac803,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,9.9,,,2023-12-15 00:00:00,patch order id: ord_prod_440884b7c6e60d11aac14142510973cd,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,1.0,,1.0,2023-12-15 00:00:00,patch order id: ord_prod_7f8e0b6c2d64c68071a39c7476961557,0,Patch,2023,12,15
Pacific Biochar,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,101.9,,101.9,2023-03-31 00:00:00,Carbonfuture Marketplace Report,0,Carbonfuture,2023,03,31
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,10.0,,,2023-12-15 00:00:00,patch order id: ord_prod_ae57e9b90811c8e5779ddae26dbcea1a,0,Patch,2023,12,15
Carbon Engineering,Hey Habito,DAC/Mineralization,DAC,undelivered,8.0,,,2021-12-08 00:00:00,marketplace report,0,Supercritical,2021,12,08
Charm Industrial,Vallejo Ventures Trust,BiCRS,Bio-oil,delivered,1041.0,,1041.0,2021-03-18 00:00:00,https://charmindustrial.com/order?orderId=recjY1a0imi8UxkLd,0,0,2021,03,18
Octavia Carbon,WRLD Foundation,DAC/Mineralization,DAC,undelivered,235.0,199750,,2023-09-29 00:00:00,0,0,Milkywire,2023,09,29
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.1,,0.1,2021-10-30 00:00:00,https://charmindustrial.com/order?orderId=rec4197qK9s0kpb9M,0,0,2021,10,30
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,undelivered,56.0,,,2022-11-21 00:00:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,11,21
Carbon Cycle,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,799.6,,799.6,2021-03-17 16:27:00,Carbonfuture Marketplace Report,0,Carbonfuture,2021,03,17
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,13.0,,13.0,2023-12-15 00:00:00,patch order id: ord_prod_4b24e4e3e774843e6e42bba28a76036a,0,Patch,2023,12,15
UNDO,TEAM 17 GROUP PLC,ERW,Enhanced Weathering,undelivered,3.0,,,2023-03-06 00:00:00,supercritical report,0,Supercritical,2023,03,06
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,46.0,,,2022-12-21 00:00:00,marketplace report,0,Watershed,2022,12,21
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_b8207ba66f925f5521c38d3b7818b202,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,4.0,,4.0,2023-12-15 00:00:00,patch order id: ord_prod_c183152694970c572f28fb0ca167772c,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,delivered,0.3,,0.3,2023-12-15 00:00:00,patch order id: ord_prod_eb7d8cefa7f2dea0b8f5a04be9e91df5,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,628.0,,,2023-12-15 00:00:00,patch order id: ord_prod_893f39a36762e4c3438d68277b8da626,0,Patch,2023,12,15
Mash makes,Aggregate Purchase,BiCRS,Biochar,undelivered,10.0,,,2023-12-15 00:00:00,patch order id: ord_prod_db09fef92e59a22b3a428dd947b65800,0,Patch,2023,12,15
Carbon Engineering,Supercritical,DAC/Mineralization,DAC,undelivered,5.0,,,2022-03-31 00:00:00,supercritical report,0,Supercritical,2022,03,31
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.1,,0.1,2022-07-16 00:00:00,https://charmindustrial.com/order?orderId=rectRj491dZBK8Kzq,0,0,2022,07,16
Carbon Hill,Aggregate Purchase,BiCRS,Biochar,delivered,104.0,,104.0,2023-02-18 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,CUR8,Puro,2023,02,18
Carbo Culture,Aggregate Purchase,BiCRS,Biochar,undelivered,0.2,,,2023-12-15 00:00:00,patch order id: ord_prod_7f7b5cbea1cfcbc6a25d448e911c7de4,0,Patch,2023,12,15
Hjelmsäters Egendom,Aggregate Purchase,BiCRS,Biochar,delivered,50.0,,50.0,2022-02-14 00:00:00,https://registry.puro.earth/carbon-sequestration,Compensate,Puro,2022,02,14
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,0.6,,0.6,2023-12-15 00:00:00,patch order id: ord_prod_df28837103b98e8a4631e7b144635ca8,0,Patch,2023,12,15
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,delivered,31.1,,31.1,2023-12-15 00:00:00,patch order id: ord_prod_71ef95d889d9cd6921a26cf0a0ba1c31,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,1.0,,,2023-12-15 00:00:00,patch order id: ord_prod_32986c7addec0592a5a851975c60682d,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,21.0,,,2023-12-15 00:00:00,patch order id: ord_prod_13a33e7061c4cd1b382bee0c5d450dda,0,Patch,2023,12,15
Douglas County Forest Products,Softwire,BiCRS,Biochar,delivered,394.0,,394.0,2022-06-12 00:00:00,0,Supercritical,Puro,2022,06,12
Jeffries Group,Individual,BiCRS,Biochar,delivered,1.0,140,1.0,2022-10-14 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,0,Puro,2022,10,14
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,0.5,,,2023-12-15 00:00:00,patch order id: ord_prod_3824b4c723e009feaad8da6e847270d3,0,Patch,2023,12,15
Cedar Carbon,Individual,DAC/Mineralization,DAC,undelivered,1.0,333,,2022-08-19 00:00:00,Supplier Report,0,0,2022,08,19
Glanris,JPMorgan Chase,BiCRS,Biochar,delivered,43.0,,43.0,2023-04-20 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements				,0,Puro,2023,04,20
Charm Industrial,Solar Pacific Ventures,BiCRS,Bio-oil,delivered,0.1,,0.1,2022-05-31 00:00:00,https://charmindustrial.com/order?orderId=rec5JlGC6kqBzKZpE,0,0,2022,05,31
Freres Biochar,Origami Energy	,BiCRS,Biochar,delivered,61.0,6405,61.0,2022-06-28 00:00:00,https://registry.puro.earth/carbon-sequestration,Supercritical,Puro,2022,06,28
Premier Forest,Stanhope PLC,BiCRS,Biochar,delivered,35.0,5250,35.0,2022-07-27 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2022,07,27
Freres Biochar,Softwire,BiCRS,Biochar,delivered,106.0,,106.0,2022-06-08 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Puro,Supercritical,2022,06,08
Charm Industrial,Bennetts Associates,BiCRS,Bio-oil,undelivered,4.0,,,2023-03-31 00:00:00,supercritical report,0,Supercritical,2023,03,31
Dutch Carboneers,Aggregate Purchase,BiCRS,Biochar,undelivered,16.0,,,2023-12-15 00:00:00,patch order id: ord_prod_8e81a95256763283d24e965ce7860aef,0,Patch,2023,12,15
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,delivered,5.0,,5.0,2023-12-15 00:00:00,patch order id: ord_prod_2b3143c0a582d73fc9f52f08b17b53c7,0,Patch,2023,12,15
Freres Biochar,EY,BiCRS,Biochar,delivered,1000.0,,1000.0,2022-09-30 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,0,Puro,2022,09,30
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,3072.0,,,2022-02-07 00:00:00,supplier report,0,Watershed,2022,02,07
Hjelmsäters Egendom,Unknown,BiCRS,Biochar,delivered,54.0,,54.0,2021-12-15 00:00:00,https://registry.puro.earth/carbon-sequestration,Watershed,Puro,2021,12,15
Carbofex,Suomen Yliopistokiinteistöt,BiCRS,Biochar,delivered,1.0,,1.0,2020-03-18 00:00:00,https://registry.puro.earth/carbon-sequestration,Nordic Offset,Puro,2020,03,18
Freres Biochar,Route,BiCRS,Biochar,delivered,114.0,,114.0,2023-08-09 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,0,Puro,2023,08,09
Arbon,Frontier,DAC/Mineralization,DAC,undelivered,173.0,100000,,2023-09-07 00:00:00,https://frontierclimate.com/writing/fall-2023-purchases,0,0,2023,09,07
Husk,Aggregate Purchase,BiCRS,Biochar,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_5a58391a44c73712d41b693454f6d9ac,0,Patch,2023,12,15
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.1,,0.1,2021-09-02 00:00:00,https://charmindustrial.com/order?orderId=rec93cKsLAEhlnhup,0,0,2021,09,02
Bussme Energy,Dataiku,BiCRS,Biochar,delivered,60.0,,60.0,2023-01-25 00:00:00,registry,Watershed,Puro,2023,01,25
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,84.0,,,2023-12-15 00:00:00,patch order id: ord_prod_0a502407f6a9d2517fcacaaff2bc076b,0,Patch,2023,12,15
Carbon Capture,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,0.3,,,2023-12-15 00:00:00,patch order id: ord_prod_dfe619b5b82f14bc4e8a3a2514faef57,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_0c3dc3cdb958ff80c3cfd20c63c5b29c,0,Patch,2023,12,15
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,5.0,,5.0,2022-01-21 16:25:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,01,21
UNDO,Usman Chowdhry,ERW,Enhanced Weathering,undelivered,2.0,,,2023-06-15 00:00:00,0,0,Supercritical,2023,06,15
CharLine,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,124.8,,124.8,2021-03-17 16:27:00,Carbonfuture Marketplace Report,0,Carbonfuture,2021,03,17
Eion,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,0.9,,,2023-12-15 00:00:00,patch order id: ord_prod_4750d6a17af8beee275d6fed26c1f69c,0,Patch,2023,12,15
Terra Preta,Aggregate Purchase,BiCRS,Biochar,undelivered,0.6,,,2023-12-15 00:00:00,patch order id: ord_prod_630689f33e7c0fc5e1fa68f5fd35d73c,0,Patch,2023,12,15
Wakefield Biochar,TEAM 17 GROUP PLC,BiCRS,Biochar,undelivered,14.0,,,2023-03-06 00:00:00,supercritical report,0,Supercritical,2023,03,06
CarbonCure,Moomin Characters,DAC/Mineralization,Mineralization,delivered,148.0,,148.0,2022-06-01 00:00:00,https://sustainability.lune.co/moomin?certificate=2,0,Lune,2022,06,01
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,1.0,,,2023-12-15 00:00:00,patch order id: ord_prod_67b0d7fbfb08c3990c0ac935e50bb461,0,Patch,2023,12,15
Freres Biochar,Lilac Solutions,BiCRS,Biochar,delivered,150.0,,150.0,2023-02-06 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,0,Puro,2023,02,06
Douglas County Forest Products,Softwire Employees,BiCRS,Biochar,delivered,118.0,12980,118.0,2022-12-19 00:00:00,0,Supercritical,Puro,2022,12,19
Oplandske Bioenergi (OBIO),Vestre,BiCRS,Biochar,delivered,50.0,,50.0,2023-10-24 00:00:00,https://grex.grexel.com/pu-FI/public/cancellationstatement/ae19b1ba-afdb-48b5-9bd2-4efee670c1cf	,Puro,Lune,2023,10,24
Charm Industrial,Softwire,BiCRS,Bio-oil,undelivered,35.0,,,2022-03-24 00:00:00,marketplace report,0,Supercritical,2022,03,24
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,0.2,,,2023-12-15 00:00:00,patch order id: ord_prod_e5a4d852dbb0fd1bf19e5b5f54b23c3e,0,Patch,2023,12,15
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.0,,0.0,2022-01-12 00:00:00,https://charmindustrial.com/order?orderId=recWRrqSXdAhNJOgl,0,0,2022,01,12
Wakefield Biochar,Vestre,BiCRS,Biochar,delivered,153.0,,153.0,2023-10-30 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Lune,Puro,2023,10,30
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,10.0,5570,,2022-05-30 18:51:46.208,https://app.klimate.co/orders/PO1000112,0,Klimate,2022,05,30
