Supplier,Purchaser,CDR Group,CDR Method,Status,Tons Purchased,Total price (USD),Tons Delivered,Announcement Date,Announcement Link,Demand-side Marketplace,Supply-side Marketplace,Year,Month,Day
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,3.0,,,2023-12-15 00:00:00,patch order id: ord_prod_20ac6473159ae9e656a98da143fd173e,0,Patch,2023,12,15
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.2,,0.2,2021-10-27 00:00:00,https://charmindustrial.com/order?orderId=reczOUDrXQljFK1th,0,0,2021,10,27
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,5.0,,,2023-12-15 00:00:00,patch order id: ord_prod_20ac6473159ae9e656a98da143fd173e,0,Patch,2023,12,15
Airhive,Frontier,DAC/Mineralization,DAC,undelivered,943.0,500000,,2023-09-07 00:00:00,https://frontierclimate.com/writing/fall-2023-purchases,0,0,2023,09,07
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,delivered,2.1,,2.1,2023-12-15 00:00:00,patch order id: ord_prod_df266717c1b8286ff58ec71ffbd7be18,0,Patch,2023,12,15
Echo2,Pala Investments,BiCRS,Biochar,delivered,36.0,6768,36.0,2022-08-25 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2022,08,25
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,6.2,,6.2,2022-08-30 16:48:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,08,30
Carbon Capture,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,0.2,,,2023-12-15 00:00:00,patch order id: ord_prod_04056f572d943936383b86e5fcd9899f,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,0.2,,,2023-12-15 00:00:00,patch order id: ord_prod_51fe4695741f3a4e85fe16f045f31fbe,0,Patch,2023,12,15
Wakefield Biochar,Dalsem,BiCRS,Biochar,delivered,1.0,,1.0,2023-06-12 00:00:00,0,0,Supercritical,2023,06,12
Energiewerk Ilg,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,10.5,,10.5,2023-03-06 15:07:00,Carbonfuture Marketplace Report,0,Carbonfuture,2023,03,06
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,0.2,,,2023-12-15 00:00:00,patch order id: ord_prod_085b1d5fa93efd918fab2b3a640b8250,0,Patch,2023,12,15
Carbofex,Aggregate Purchase,BiCRS,Biochar,delivered,300.0,,300.0,2020-12-02 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2020,12,02
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,delivered,12.0,,12.0,2021-03-20 00:00:00,https://charmindustrial.com/order?orderId=recov1NV8ZSx3LDBn,0,Aerial,2021,03,20
Brilliant Planet,Block,BiCRS,Biomass Burial,undelivered,1500.0,,,2023-07-25 00:00:00,https://www.prnewswire.com/news-releases/brilliant-planet-announces-first-large-scale-carbon-removal-purchase-made-by-block-inc-through-the-watershed-marketplace-301885267.html,Watershed,Watershed,2023,07,25
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,5.2,,5.2,2023-12-15 00:00:00,patch order id: ord_prod_778090f2bbf934bceaa27b643a7b4956,0,Patch,2023,12,15
Carbo Culture,Aggregate Purchase,BiCRS,Biochar,undelivered,0.4,,,2023-12-15 00:00:00,patch order id: ord_prod_5810cec22bb959103ecdc10da11e2236,0,Patch,2023,12,15
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.1,,0.1,2021-09-05 00:00:00,https://charmindustrial.com/order?orderId=recybj6UccIaoCk8a,0,0,2021,09,05
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,1.0,,0.8,2021-11-29 00:00:00,https://charmindustrial.com/order?orderId=recCIupIJqMdcQfhh,0,0,2021,11,29
Charm Industrial,Block,BiCRS,Bio-oil,delivered,55.0,,55.0,2021-03-29 00:00:00,https://charmindustrial.com/order?orderId=rec1xzlzwBI4vpZ1b,0,Watershed,2021,03,29
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,15.7,,15.7,2022-11-23 09:36:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,11,23
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_fe1c89686633f36b036be84b0ddedab9,0,Patch,2023,12,15
Wakefield Biochar,Aggregate Purchase,BiCRS,Biochar,delivered,13.0,,13.0,2023-07-19 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Supercritical,Puro,2023,07,19
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_c7c756c327ea894f85990f80599b8d82,0,Patch,2023,12,15
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,159.0,,159.0,2022-10-25 12:47:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,10,25
Novocarbo,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,111.5,,111.5,2022-05-18 15:11:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,05,18
Nordgau,"Omega Healthcare Investors, Inc.",BiCRS,Biochar,delivered,3.0,,3.0,2023-10-30 00:00:00,https://registry.puro.earth/carbon-sequestration/projects/Biochar/Nordgau-Carbon-Wernberg-Kblitz/643002406801000251,Lune,Puro,2023,10,30
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.2,,0.2,2021-12-31 00:00:00,https://charmindustrial.com/order?orderId=recUoHdJvWzVESFvQ,0,0,2021,12,31
Energiewerk Ilg,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,155.5,,155.5,2022-05-16 15:29:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,05,16
Oplandske Bioenergi (OBIO),Stokkøya Strandhotell,BiCRS,Biochar,delivered,0.0,,0.0,2022-08-04 00:00:00,marketplace report,Down to Earth,Puro,2022,08,04
Graphyte,American Airlines,BiCRS,Biomass Burial,undelivered,10000.0,,,2023-11-28 00:00:00,https://prn.to/47NUVRE,0,0,2023,11,28
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,delivered,2.5,,2.5,2023-12-15 00:00:00,patch order id: ord_prod_bd3617eeef394c6d2b0173a9ffa79c91,0,Patch,2023,12,15
Oplandske Bioenergi (OBIO),Aggregate Purchase,BiCRS,Biochar,delivered,40.0,,40.0,2023-10-27 00:00:00,https://registry.puro.earth/carbon-sequestration/projects/Biochar/OBIO-Rudshgda/643002406801000398,Down to Earth,Puro,2023,10,27
Ecoera,Microsoft,BiCRS,Biochar,delivered,289.0,,289.0,2021-05-21 00:00:00,https://registry.puro.earth/carbon-sequestration,Puro,Puro,2021,05,21
Carbon Capture,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,0.5,,,2023-12-15 00:00:00,patch order id: ord_prod_c48be8a4aee7a50144e7addb13351e8d,0,Patch,2023,12,15
Climeworks,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,7.0,6160,,2021-09-10 07:33:31.320,https://app.klimate.co/orders/PO100011,0,Klimate,2021,09,10
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,0.2,,,2023-12-15 00:00:00,patch order id: ord_prod_29f3be34f12c181542ebfdb6cf5954c1,0,Patch,2023,12,15
Brilliant Planet,Aggregate Purchase,BiCRS,Biomass Burial,undelivered,0.4,,,2023-12-15 00:00:00,patch order id: ord_prod_b99d3f8dd574ff53f4e1820ab403658c,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,0.4,,,2023-12-15 00:00:00,patch order id: ord_prod_64b2f7968decac81f2c72d11b2bd2c31,0,Patch,2023,12,15
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,33.7,,33.7,2022-03-16 16:32:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,03,16
Ecoera,Aggregate Purchase,BiCRS,Biochar,undelivered,15.0,,,2023-12-15 00:00:00,patch order id: ord_prod_7189b8412fc7e5c07101bf565a71dec3,0,Patch,2023,12,15
Brilliant Planet,Aggregate Purchase,BiCRS,Biomass Burial,undelivered,2.0,,,2023-12-15 00:00:00,patch order id: ord_prod_090fc38b6d355be6570061c4a249d6a5,0,Patch,2023,12,15
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.0,,0.0,2022-06-13 00:00:00,https://charmindustrial.com/order?orderId=recEi1nuanOq7Uz6l,0,0,2022,06,13
Exomad Green,Climate Neutral Group,BiCRS,Biochar,delivered,1000.0,,1000.0,2023-10-16 00:00:00,Data partner submission through Portal,0,Puro,2023,10,16
Eion,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,1.5,,,2023-12-15 00:00:00,patch order id: ord_prod_6446736c462b855e77e3c7799c68a9ab,0,Patch,2023,12,15
Carbon Capture,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,2.0,,,2023-12-15 00:00:00,patch order id: ord_prod_872f525421cd91725226794440597001,0,Patch,2023,12,15
Biochar Life,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,2000.8,,2000.8,2023-08-16 11:12:00,Carbonfuture Marketplace Report,0,Carbonfuture,2023,08,16
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.2,,0.2,2021-10-27 00:00:00,https://charmindustrial.com/order?orderId=recETuUSmWlEdltlc,0,0,2021,10,27
Planboo,Aggregate Purchase,BiCRS,Biochar,undelivered,1.0,,,2023-12-15 00:00:00,patch order id: ord_prod_252b9d6b934e3272ab3695203ea3fabb,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_992b106b8c5c4b7dbaf675431bd85591,0,Patch,2023,12,15
Climeworks,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,0.4,377,,2022-02-15 00:00:00,https://onedrive.live.com/?authkey=%21AMLIw197AINYrUo&cid=BF94CF093BB9FC8C&id=BF94CF093BB9FC8C%21184984&parId=BF94CF093BB9FC8C%21135520&o=OneUp,0,Carbon Removed,2022,02,15
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,6.6,,,2023-12-15 00:00:00,patch order id: ord_prod_889021198bed80fae0673547e83d6ffa,0,Patch,2023,12,15
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,undelivered,3000.0,,,2022-11-09 00:00:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,11,09
Neustark,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,50.0,,,2021-09-30 00:00:00,Supplier Report,0,Pledge,2021,09,30
Douglas County Forest Products,Banque Pictet and Cie SA,BiCRS,Biochar,delivered,344.0,,344.0,2023-10-02 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Puro,South Pole,2023,10,02
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_eaa95f14cf1550a840626c673c3215ff,0,Patch,2023,12,15
Hjelmsäters Egendom,Comforte,BiCRS,Biochar,delivered,50.0,,50.0,2021-10-26 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2021,10,26
UNDO,Akihiro Tsuzuki,ERW,Enhanced Weathering,undelivered,2.0,,,2023-06-15 00:00:00,0,0,Supercritical,2023,06,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_7c13edf3034de56e9bf3304d52eb6f54,0,Patch,2023,12,15
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,17.8,,17.8,2023-06-27 15:01:00,Carbonfuture Marketplace Report,0,Carbonfuture,2023,06,27
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,22.4,,,2023-12-15 00:00:00,patch order id: ord_prod_8d90e8880861d69336546d53a0e1c737,0,Patch,2023,12,15
InterEarth,Klarna,BiCRS,Biomass Burial,undelivered,5556.0,300000,,2023-09-29 00:00:00,0,0,Milkywire,2023,09,29
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,0.2,,,2023-12-15 00:00:00,patch order id: ord_prod_bacac237322a0d717764379d884b24b8,0,Patch,2023,12,15
Neustark,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,4.0,,,2023-12-15 00:00:00,patch order id: ord_prod_76fb0f99508b85e7eec63c7a59e05f14,0,Patch,2023,12,15
Wakefield Biochar,Aggregate Purchase,BiCRS,Biochar,delivered,36.0,,36.0,2023-07-19 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Supercritical,Puro,2023,07,19
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,partial,50.0,,7.2,2021-11-15 00:00:00,https://charmindustrial.com/order?orderId=recFSd7tO9DPJWHpD,0,Pledge,2021,11,15
Climeworks,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,0.2,215,,2020-10-07 00:00:00,https://onedrive.live.com/?cid=bf94cf093bb9fc8c&id=BF94CF093BB9FC8C%21125362&ithint=file%2Cpdf&authkey=%21AN9IOeMsbXWhHUM,0,Carbon Removed,2020,10,07
Wakefield Biochar,HFL,BiCRS,Biochar,delivered,180.0,,180.0,2023-02-17 00:00:00,marketplace report,Puro,Supercritical,2023,02,17
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,0.2,,,2023-12-15 00:00:00,patch order id: ord_prod_c48be8a4aee7a50144e7addb13351e8d,0,Patch,2023,12,15
Climeworks,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,0.4,409,,2021-10-13 00:00:00,0,0,Carbon Removed,2021,10,13
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.2,,0.2,2021-09-03 00:00:00,https://charmindustrial.com/order?orderId=recQPInBYsPLrK5Ox,0,0,2021,09,03
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,15.9,,,2023-12-15 00:00:00,patch order id: ord_prod_dd5fe50737577be4e7ba7a305e09fa41,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,13.0,,,2023-12-15 00:00:00,patch order id: ord_prod_bd57b0b8f6cc5c2e1c9387f00c13882d,0,Patch,2023,12,15
Carbuna,Aggregate Purchase,BiCRS,Biochar,undelivered,300.0,,,2023-08-28 00:00:00,Data partner submission through Portal,0,Klimate,2023,08,28
Oregon Biochar Solutions,Checkout,BiCRS,Biochar,delivered,1381.0,255485,1381.0,2022-01-11 00:00:00,https://registry.puro.earth/carbon-sequestration,Pledge,Puro,2022,01,11
Climeworks,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,35.0,,,2023-05-01 00:00:00,Marketplace purchaser report,Klimate,Klimate,2023,05,01
UNDO,Tech Nation Group,ERW,Enhanced weathering,undelivered,7.0,,,2022-11-16 00:00:00,0,0,Supercritical,2022,11,16
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,undelivered,20.0,,,2023-07-07 00:00:00,Carbonfuture Marketplace Report,0,Carbonfuture,2023,07,07
Pacific Biochar,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,407.8,,407.8,2023-06-30 00:00:00,Carbonfuture Marketplace Report,0,Carbonfuture,2023,06,30
Vycarb,Frontier,Ocean CDR,Ocean Alkalinity Enhancement,undelivered,58.0,100000,,2023-09-07 00:00:00,https://frontierclimate.com/writing/fall-2023-purchases,0,0,2023,09,07
Charm Industrial,Individual,BiCRS,Bio-oil,delivered,0.0,,0.0,2021-12-15 00:00:00,https://charmindustrial.com/order?orderId=recCCpBTi4MX4eJ2k,0,0,2021,12,15
Freres Biochar,Dropbox,BiCRS,Biochar,delivered,582.0,,582.0,2023-02-28 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,0,Puro,2023,02,28
Takachar,WRLD Foundation,BiCRS,Biochar,undelivered,1167.0,,,2023-09-29 00:00:00,0,0,Milkywire,2023,09,29
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,132.9,,132.9,2022-03-28 11:51:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,03,28
Wakefield Biochar,Trafalgar House Penseions Administration Limited,BiCRS,Biochar,undelivered,2.0,,,2023-03-27 00:00:00,supercritical report,0,Supercritical,2023,03,27
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,1.0,,,2023-12-15 00:00:00,patch order id: ord_prod_d2588400f3dd97d5d7c6c427d3ad4b1f,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,105.0,,,2023-12-15 00:00:00,patch order id: ord_prod_36a9088177ebec253419c4c3bbf91520,0,Patch,2023,12,15
Charm Industrial,Zendesk,BiCRS,Bio-oil,delivered,166.7,,166.7,2021-06-23 00:00:00,https://charmindustrial.com/order?orderId=rec7XFjzgLEoFD6FF,0,0,2021,06,23
Nordgau,Aggregate Purchase,BiCRS,Biochar,delivered,10.0,,10.0,2022-03-17 00:00:00,https://registry.puro.earth/carbon-sequestration,Compensate,Puro,2022,03,17
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,1.0,,,2023-12-15 00:00:00,patch order id: ord_prod_3cc95747d607a0f2550a7bc3ebdd85a2,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,15.6,,,2023-12-15 00:00:00,patch order id: ord_prod_443ca75d98b3616ab6d99460854f003e,0,Patch,2023,12,15
Douglas County Forest Products,Banque Pictet and Cie SA,BiCRS,Biochar,delivered,156.0,,156.0,2023-10-02 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Puro,South Pole,2023,10,02
Carbon Cycle,Microsoft,BiCRS,Biochar,delivered,522.0,,522.0,2021-06-28 00:00:00,https://registry.puro.earth/carbon-sequestration,Puro,Puro,2021,06,28
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,0.6,,,2023-12-15 00:00:00,patch order id: ord_prod_32986c7addec0592a5a851975c60682d,0,Patch,2023,12,15
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,delivered,1.4,,1.4,2023-12-15 00:00:00,patch order id: ord_prod_55d45c138822b08ec1ed85e468f9d46b,0,Patch,2023,12,15
Husk,Aggregate Purchase,BiCRS,Biochar,delivered,20.5,,20.5,2023-12-15 00:00:00,patch order id: ord_prod_00c567393b90f9169ca0cbf1598f1dc0,0,Patch,2023,12,15
Ecoera,Aggregate Purchase,BiCRS,Biochar,undelivered,8.9,,,2023-12-15 00:00:00,patch order id: ord_prod_1042b59e6053cdd0fc52d52262e62424,0,Patch,2023,12,15
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,delivered,5.4,,5.4,2023-12-15 00:00:00,patch order id: ord_prod_798d24acd95871e4712111ee3039ad31,0,Patch,2023,12,15
Carbofex,Microsoft,BiCRS,Biochar,delivered,7.0,2352,7.0,2022-06-20 00:00:00,https://registry.puro.earth/carbon-sequestration,0,Puro,2022,06,20
Capture6,Respira,DAC/Mineralization,DAC,LOI/MOU,50000.0,,,2023-11-29 00:00:00,https://www.globenewswire.com/news-release/2023/11/29/2788012/0/en/Respira-Announces-Intention-to-Purchase-up-to-50-000-Carbon-Removal-Credits-from-Capture6.html,0,0,2023,11,29
UNDO,Softwire,ERW,Enhanced weathering,undelivered,143.0,,,2022-03-24 00:00:00,marketplace report,0,Supercritical,2022,03,24
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,delivered,0.2,,0.2,2023-12-15 00:00:00,patch order id: ord_prod_1ea26fe463b369d5f8bafa5dd3770c02,0,Patch,2023,12,15
1.834027778,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,200.0,,,2022-06-09 00:00:00,marketplace report,0,Watershed,2022,06,09
UNDO,FundApps Ltd,ERW,Enhanced Weathering,undelivered,40.0,,,2023-06-21 00:00:00,0,0,Supercritical,2023,06,21
Carbon Engineering,Plural UK Management Limited,DAC/Mineralization,DAC,undelivered,17.0,,,2023-03-13 00:00:00,supercritical report,0,Supercritical,2023,03,13
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,0.5,,,2023-12-15 00:00:00,patch order id: ord_prod_c48be8a4aee7a50144e7addb13351e8d,0,Patch,2023,12,15
Freres Biochar,Polaroid,BiCRS,Biochar,delivered,39.0,,39.0,2022-12-27 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Puro,South Pole,2022,12,27
Eion,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,0.3,,,2023-12-15 00:00:00,patch order id: ord_prod_322856a81bbe5238610b15d8c5f2f56a,0,Patch,2023,12,15
GreenSand,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,5.0,,,2023-12-15 00:00:00,patch order id: ord_prod_79bfca715c4c47c1a102ed78fb52da56,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,1.1,,1.1,2023-12-15 00:00:00,patch order id: ord_prod_ad1ecaa0a957566977a547044568bd86,0,Patch,2023,12,15
Freres Biochar,Unknown,BiCRS,Biochar,delivered,100.0,,100.0,2023-07-25 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,0,Puro,2023,07,25
Carbon Capture,Aggregate Purchase,DAC/Mineralization,DAC,undelivered,34.0,,,2023-12-15 00:00:00,patch order id: ord_prod_ff914df339ded5f61d11436736e2433d,0,Patch,2023,12,15
Husk,Aggregate Purchase,BiCRS,Biochar,undelivered,1.0,,,2023-12-15 00:00:00,patch order id: ord_prod_6eb6ba6228c508b49e534144dd535a97,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,delivered,0.3,,0.3,2023-12-15 00:00:00,patch order id: ord_prod_5301e213f0e5f15d2f411080d90fb44f,0,Patch,2023,12,15
Running Tide,Aggregate Purchase,BiCRS,Biomass Sinking,undelivered,2.3,,,2023-12-15 00:00:00,patch order id: ord_prod_21b8d244cf54c664dd7d79e1ff677b34,0,Patch,2023,12,15
Wakefield Biochar,Lawton Communications Group,BiCRS,Biochar,delivered,15.0,,15.0,2023-07-20 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Supercritical,Puro,2023,07,20
Wakefield Biochar,Lawton Communications Group,BiCRS,Biochar,undelivered,15.0,,,2023-03-21 00:00:00,supercritical report,0,Supercritical,2023,03,21
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,125.0,,,2022-06-09 00:00:00,marketplace report,0,Watershed,2022,06,09
Mash makes,Aggregate Purchase,BiCRS,Biochar,undelivered,0.8,,,2023-12-15 00:00:00,patch order id: ord_prod_95e7d8a5e052c2346d3d962934871025,0,Patch,2023,12,15
EDAC Labs,Frontier,ERW,Enhanced Weathering,undelivered,317.0,500000,,2023-09-07 00:00:00,https://frontierclimate.com/writing/fall-2023-purchases,0,0,2023,09,07
Freres Biochar,Softwire,BiCRS,Biochar,delivered,39.0,,39.0,2022-06-08 00:00:00,https://registry.puro.earth/carbon-sequestration,Supercritical,Puro,2022,06,08
Freres Biochar,Softwire,BiCRS,Biochar,delivered,111.0,,111.0,2022-06-08 00:00:00,https://registry.puro.earth/carbon-sequestration,Compensate,Puro,2022,06,08
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,2.0,,2.0,2023-12-15 00:00:00,patch order id: ord_prod_79d98a2860aa691d96baa595d6e52712,0,Patch,2023,12,15
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,5.0,,5.0,2023-12-15 00:00:00,patch order id: ord_prod_348a12c4c99a6d89898ddb438ffcb255,0,Patch,2023,12,15
Project Vesta,Aggregate Purchase,ERW,Enhanced Weathering,undelivered,65.5,,,2023-12-15 00:00:00,patch order id: ord_prod_36f60f1831d550b21ff75bfcb09d8eb3,0,Patch,2023,12,15
Andes,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,10.9,,,2023-12-15 00:00:00,patch order id: ord_prod_f437e0e67583dfbcb405a2e4cb4c5e39,0,Patch,2023,12,15
Freres Biochar,Information Grid,BiCRS,Biochar,delivered,9.0,,9.0,2021-09-09 00:00:00,marketplace report,0,Supercritical,2021,09,09
Bussme Energy,Unknown,BiCRS,Biochar,delivered,29.0,,29.0,2021-12-15 00:00:00,https://registry.puro.earth/carbon-sequestration,Watershed,Puro,2021,12,15
CarbonBuilt,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,100.0,,,2023-03-21 00:00:00,marketplace report,0,Watershed,2023,03,21
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,undelivered,15000.0,,,2023-07-05 00:00:00,Carbonfuture Marketplace Report,0,Carbonfuture,2023,07,05
Wakefield Biochar,Ticket Tailor,BiCRS,Biochar,delivered,68.0,,68.0,2023-07-20 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,Supercritical,Puro,2023,07,20
Charm Industrial,Harvard Management Company,BiCRS,Bio-oil,partial,500.0,,44.6,2022-01-31 00:00:00,https://charmindustrial.com/order?orderId=recg3PYQiVxWXJOpT,0,0,2022,01,31
Charm Industrial,Aggregate Purchase,BiCRS,Bio-oil,undelivered,100.0,,,2023-10-03 00:00:00,Data partner submission through Portal,0,Klimate,2023,10,03
V-Grid Energy Systems,Aggregate Purchase,BiCRS,Biochar,delivered,109.0,27250,109.0,2023-01-27 00:00:00,https://registry.puro.earth/carbon-sequestration/retirements,CO2.com,Puro,2023,01,27
UNDO,Aggregate Purchase,ERW,Enhanced weathering,delivered,48.0,38400,48.0,2022-12-19 00:00:00,marketplace report,0,Ceezer,2022,12,19
Energiewerk Ilg,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,81.4,,81.4,2020-06-19 13:51:00,Carbonfuture Marketplace Report,0,Carbonfuture,2020,06,19
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,delivered,19.4,,19.4,2021-06-06 15:51:00,Carbonfuture Marketplace Report,0,Carbonfuture,2021,06,06
Carbonfuture Supplier,Carbonfuture Anonymous Purchaser,BiCRS,Biochar,undelivered,2000.0,,,2022-11-09 00:00:00,Carbonfuture Marketplace Report,0,Carbonfuture,2022,11,09
Wakefield Biochar,AI Tokenomics Limited,BiCRS,Biochar,delivered,2.0,,2.0,2023-08-04 00:00:00,https://registry.puro.earth/carbon-sequestration/projects/Biochar/Wakefield-Biochar-Facility-1/643002406801000725,Thallo,Puro,2023,08,04
Carbon Engineering,Trafalgar House Penseions Administration Limited,DAC/Mineralization,DAC,undelivered,1.0,,,2023-03-27 00:00:00,supercritical report,0,Supercritical,2023,03,27
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,undelivered,1.7,,,2023-12-15 00:00:00,patch order id: ord_prod_36d1d6fa60bfa493febda2353885e59f,0,Patch,2023,12,15
Ecoera,Aggregate Purchase,BiCRS,Biochar,undelivered,2.0,,,2023-12-15 00:00:00,patch order id: ord_prod_aff00a41c23d526126a9e5f910f835cc,0,Patch,2023,12,15
Carbon Engineering,Space Ape Games,DAC/Mineralization,DAC,undelivered,16.0,,,2022-03-01 00:00:00,marketplace report,0,Supercritical,2022,03,01
CarbonCure,Aggregate Purchase,DAC/Mineralization,Mineralization,delivered,1.3,,1.3,2023-12-15 00:00:00,patch order id: ord_prod_6fddd7e749ec51a8feadd14d99d87045,0,Patch,2023,12,15
